Messung,Latenz_tz, Latenz_ns
1009, 83, 27.67
1010, 85, 28.33
1011, 85, 28.33
1012, 87, 29.00
1013, 83, 27.67
1014, 88, 29.33
1015, 88, 29.33
1016, 86, 28.67
1017, 82, 27.33
1018, 84, 28.00
1019, 86, 28.67
1020, 84, 28.00
1021, 86, 28.67
1022, 85, 28.33
1023, 87, 29.00
1024, 85, 28.33
1025, 83, 27.67
1026, 83, 27.67
1027, 85, 28.33
1028, 89, 29.67
1029, 89, 29.67
1030, 87, 29.00
1031, 87, 29.00
1032, 87, 29.00
1033, 83, 27.67
1034, 83, 27.67
1035, 85, 28.33
1036, 85, 28.33
1037, 85, 28.33
1038, 86, 28.67
1039, 84, 28.00
1040, 88, 29.33
1041, 88, 29.33
1042, 88, 29.33
1043, 84, 28.00
1044, 86, 28.67
1045, 86, 28.67
1046, 86, 28.67
1047, 88, 29.33
1048, 83, 27.67
1049, 81, 27.00
1050, 83, 27.67
1051, 83, 27.67
1052, 83, 27.67
1053, 87, 29.00
1054, 89, 29.67
1055, 85, 28.33
1056, 83, 27.67
1057, 85, 28.33
1058, 85, 28.33
1059, 83, 27.67
1060, 89, 29.67
1061, 89, 29.67
1062, 89, 29.67
1063, 85, 28.33
1064, 86, 28.67
1065, 86, 28.67
1066, 88, 29.33
1067, 84, 28.00
1068, 88, 29.33
1069, 84, 28.00
1070, 86, 28.67
1071, 86, 28.67
1072, 86, 28.67
1073, 88, 29.33
1074, 87, 29.00
1075, 83, 27.67
1076, 83, 27.67
1077, 83, 27.67
1078, 83, 27.67
1079, 85, 28.33
1080, 89, 29.67
1081, 89, 29.67
1082, 87, 29.00
1083, 99, 33.00
1084, 85, 28.33
1085, 87, 29.00
1086, 85, 28.33
1087, 83, 27.67
1088, 85, 28.33
1089, 87, 29.00
1090, 85, 28.33
1091, 83, 27.67
1092, 83, 27.67
1093, 85, 28.33
1094, 83, 27.67
1095, 81, 27.00
1096, 86, 28.67
1097, 86, 28.67
1098, 84, 28.00
1099, 82, 27.33
1100, 80, 26.67
1101, 84, 28.00
1102, 86, 28.67
1103, 82, 27.33
1104, 86, 28.67
1105, 81, 27.00
1106, 81, 27.00
1107, 87, 29.00
1108, 89, 29.67
1109, 87, 29.00
1110, 87, 29.00
1111, 85, 28.33
1112, 83, 27.67
1113, 83, 27.67
1114, 81, 27.00
1115, 87, 29.00
1116, 85, 28.33
1117, 87, 29.00
1118, 87, 29.00
1119, 83, 27.67
1120, 85, 28.33
1121, 83, 27.67
1122, 81, 27.00
1123, 86, 28.67
1124, 86, 28.67
1125, 86, 28.67
1126, 86, 28.67
1127, 84, 28.00
1128, 82, 27.33
1129, 84, 28.00
1130, 84, 28.00
1131, 86, 28.67
1132, 85, 28.33
1133, 81, 27.00
1134, 79, 26.33
1135, 81, 27.00
1136, 81, 27.00
1137, 83, 27.67
1138, 81, 27.00
1139, 83, 27.67
1140, 83, 27.67
1141, 83, 27.67
1142, 81, 27.00
1143, 87, 29.00
1144, 85, 28.33
1145, 83, 27.67
1146, 83, 27.67
1147, 85, 28.33
1148, 83, 27.67
1149, 81, 27.00
1150, 86, 28.67
1151, 86, 28.67
1152, 86, 28.67
1153, 86, 28.67
1154, 84, 28.00
1155, 82, 27.33
1156, 84, 28.00
1157, 82, 27.33
1158, 83, 27.67
1159, 85, 28.33
1160, 85, 28.33
1161, 87, 29.00
1162, 89, 29.67
1163, 87, 29.00
1164, 87, 29.00
1165, 85, 28.33
1166, 87, 29.00
1167, 83, 27.67
1168, 83, 27.67
1169, 81, 27.00
1170, 87, 29.00
1171, 85, 28.33
1172, 87, 29.00
1173, 83, 27.67
1174, 85, 28.33
1175, 83, 27.67
1176, 81, 27.00
1177, 86, 28.67
1178, 86, 28.67
1179, 86, 28.67
1180, 86, 28.67
1181, 84, 28.00
1182, 82, 27.33
1183, 84, 28.00
1184, 82, 27.33
1185, 86, 28.67
1186, 81, 27.00
1187, 85, 28.33
1188, 87, 29.00
1189, 89, 29.67
1190, 87, 29.00
1191, 83, 27.67
1192, 83, 27.67
1193, 83, 27.67
1194, 83, 27.67
1195, 85, 28.33
1196, 87, 29.00
1197, 85, 28.33
1198, 87, 29.00
1199, 87, 29.00
